Team Name,Logo URL,Kills,Booyahs,Championships,RunnerUp,SecondRunnerUp,Top5Finishes,FinalistFinishes,OfficialMatchFinalists,EventsPlayed,WinRate,KillRatio,Players,Status,Description
TNFFM Titans,https://api.dicebear.com/8.x/shapes/svg?seed=TNFFM-Titans,1280,34,6,3,2,4,9,1,25,78,4.9,5,Active,"The flagship squad known for disciplined rotations, late-zone control, and explosive finals pressure."
Shadow Reapers,https://api.dicebear.com/8.x/shapes/svg?seed=Shadow-Reapers,1215,29,5,4,3,4,10,1,27,74,4.6,5,Active,"A high-tempo roster that wins fights early and converts momentum into consistent podium finishes."
Phoenix Vortex,https://api.dicebear.com/8.x/shapes/svg?seed=Phoenix-Vortex,1188,27,4,5,4,5,11,0,29,72,4.4,6,Active,"Known for resilient comeback runs and excellent clutch decision making in grand finals."
Apex Raiders,https://api.dicebear.com/8.x/shapes/svg?seed=Apex-Raiders,1132,26,3,4,5,5,8,0,25,69,4.1,5,Active,
Royal Blitz,https://api.dicebear.com/8.x/shapes/svg?seed=Royal-Blitz,1097,24,3,3,4,4,8,0,22,67,4,5,Active,
Inferno Kings,https://api.dicebear.com/8.x/shapes/svg?seed=Inferno-Kings,1055,21,3,2,5,4,7,0,21,64,3.9,6,Active,
Nova Syndicate,https://api.dicebear.com/8.x/shapes/svg?seed=Nova-Syndicate,1014,20,2,5,3,5,9,0,24,66,3.7,5,Active,
Velocity X,https://api.dicebear.com/8.x/shapes/svg?seed=Velocity-X,994,19,2,4,3,4,8,0,21,63,3.6,5,Active,
Crimson Orbit,https://api.dicebear.com/8.x/shapes/svg?seed=Crimson-Orbit,962,18,2,3,4,4,7,0,20,61,3.5,6,Active,
Mystic Havoc,https://api.dicebear.com/8.x/shapes/svg?seed=Mystic-Havoc,930,17,1,5,4,5,7,0,22,60,3.4,5,Active,
Thunder Core,https://api.dicebear.com/8.x/shapes/svg?seed=Thunder-Core,902,16,1,4,4,4,7,0,20,58,3.3,5,Active,
Omega Fang,https://api.dicebear.com/8.x/shapes/svg?seed=Omega-Fang,878,15,1,3,5,4,6,0,19,57,3.2,5,Active,
Solar Venom,https://api.dicebear.com/8.x/shapes/svg?seed=Solar-Venom,850,14,1,3,3,3,6,0,16,55,3.1,4,Active,
Rogue Celestials,https://api.dicebear.com/8.x/shapes/svg?seed=Rogue-Celestials,822,13,1,2,4,3,5,0,15,54,3,5,Active,
Frost Legion,https://api.dicebear.com/8.x/shapes/svg?seed=Frost-Legion,790,12,0,4,4,4,5,0,17,52,2.9,5,Active,
Nightfall Crew,https://api.dicebear.com/8.x/shapes/svg?seed=Nightfall-Crew,764,11,0,3,4,4,5,0,16,51,2.8,6,Active,
Eclipse Nine,https://api.dicebear.com/8.x/shapes/svg?seed=Eclipse-Nine,738,10,0,3,3,3,4,0,13,49,2.7,5,Active,
Rapid Zenith,https://api.dicebear.com/8.x/shapes/svg?seed=Rapid-Zenith,702,9,0,2,3,3,4,0,12,48,2.6,4,Active,
Chaos Unit,https://api.dicebear.com/8.x/shapes/svg?seed=Chaos-Unit,675,8,0,2,2,2,3,0,9,46,2.5,5,Active,
Viper Nexus,https://api.dicebear.com/8.x/shapes/svg?seed=Viper-Nexus,642,7,0,1,3,2,3,0,9,45,2.4,5,Active,
